Area_Name,Postal_code
Maloot,10031
Dab Sandoha,10041
Malki,10021
Mangloora,10031
Bharing (A.K),10030
Khaliq Nagar,10031
Ahla,10021
Gherara,10021
Kangra,10031
Watala,10010
Patni,10021
Sokasan,10041
Kadhala,10034
Saryala Chappar,10011
Barnala,10020
Thub,10021
Mora Sadha,10031
Barsali,10031
Bhimber,10040
Randian,10041
Jandi Chountra,10041
Dhal Khumba,10101
Daoora,10041
Baghsar,10051
Sammani,10060
Dana,10081
Darhal Gaggan,10061
Bindi,10061
Bangla Sadabad,10050
Khanda,10101
Mirpur City P.O,10250
Chitter Pari (Ak),10230
Chowki,10080
Mangla Dam,10200
Haripur,10101
Potha Bungish,10301
Mirpur Agency Npo,10250
Khurmanabad,10251
Chandrali,10251
Kharak,10251
Kandore,10311
Khaliqabad,10251
Samlotha,10311
Siakh,10300
Khadimabad (A.K.),10310
Afzal Pur,10360
Batli,10321
Bheli,10301
Janglian Kotla,10361
Chechian (Ak),10350
Poona,10100
Sanwal Sharif,10361
Chhattroh,10320
Jatli (Ak),10380
Sohang,10381
Banni,10370
Ali Beg,10381
Kalri,10381
Baroh,10081
Sukh Chainpur,10381
Mirpur Gpo,10250
Dhamawa,10460
Barjah,10070
Panjeri,10400
Fakrot,10401
Jhailla,10401
Rahian,10381
Gora Nakka,10381
Gurha Kunjal,10401
Sanyah,10481
Kalyal Bainsi,10471
Jatti Dheri,10480
Mawa,10471
Akal Garh,10470
Kanel,10501
Sehar,10481
Boha Dhangri (Ak),10490
Panwam,10501
Potha Bainsi,10450
Asif Abad,10491
Perahi,10521
Chak Sawari,10500
Khan Abad,10521
Rajdhani,10521
Dadyal Khurd,10530
Palak (A.K.),10520
Pind Kalan,10501
Chhanni Kuntal,10401
Toneen,10081
Thathi,10451
Khadora Kalan,10381
Balloh,10531
Chowk Sahiban,10521
Haveli Begal,10531
Doliah Jattan,10521
Onah,10531
Raipur,10531
Jarahi,10521
Thub,10531
Sandai,10541
Sanwala Piran,10545
Ghaneer,10545
Holar,11015
Baran Bhatta,11015
Sanot,10551
Chhochh,10531
Hajiabad,11011
K.D. Khan,10550
Thara,10544
Barigurha,11011
New Afzalpur,11011
Baroian,11011
Ratta,10540
Darruni Bathroi,10531
Sorakhi,10541
Potha,11014
Sochani,10531
Sehnsa,11010
Kaljoor,10551
Tarala,11015
Durlian Gujran,11031
Kritot,11015
Ainti,11015
Pateri,11041
Gulpur (Ak),11030
Kajlani,11031
Nar,11040
Khawas,11031
Pilat Pian,11015
Samror,11101
Seher Mandi,11020
Doongh,11101
Sarhota,11101
Roli,11101
Danna,11101
Kotli (A.K.),11100
Aghar,11101
Qamrooti,11101
Kurti,11101
Chowki Tinda,11101
Sarsawa,11110
Sawar,11161
Chhani,11121
Tatta Pani,11160
Siah Sharif,11121
Gunni Malni,11150
Goi,11161
Anhoi Sarhota,11111
Odeh Sharif,11121
Panjera,11120
Datoot,11171
Narali,11161
Fatehpur Thakiala,11170
Dhanwan,11161
Karela Majhan,11171
Chowki Mong,11190
Bihal,11201
Khui Ratta (A.K.),11200
Jandrot,11171
Andarla Kothera,11211
Dabsi,11171
Bal Brahmana,11220
Ghian Gujran,11201
Manjwal Sharif,11201
Bharot Gala,11211
Dhanna,11201
Dargoti,11211
Khor Rachhala,11211
Ghaura,11201
